"r" "v" "b"
2.72441e-06 4.57701e-08 6.82794e-05
3.59483e-06 7.75722e-08 7.96873e-05
4.74356e-06 1.31472e-07 9.30091e-05
6.25994e-06 2.22826e-07 0.000108551
8.26004e-06 3.77661e-07 0.000126694
1.08994e-05 6.40077e-07 0.000147868
1.43824e-05 1.08481e-06 0.000172578
1.89775e-05 1.83857e-06 0.000201419
2.50398e-05 3.11617e-06 0.000235079
3.3039e-05 5.28141e-06 0.000274365
4.35925e-05 8.95105e-06 0.000320201
5.75191e-05 1.51705e-05 0.000373702
7.58934e-05 2.57116e-05 0.000436141
0.000100137 4.35768e-05 0.000509002
0.000132125 7.38559e-05 0.000594044
0.000174334 0.000125173 0.000693277
0.00023003 0.000212147 0.000809108
0.000309521 0.000359563 0.000979243
0.000453572 0.000609403 0.0013375
0.000673757 0.000985053 0.00192567
0.000958031 0.00148381 0.0027461
0.00127241 0.00203896 0.00369083
0.00158906 0.00259539 0.0046592
0.00188751 0.00311113 0.00557657
0.00215164 0.00356642 0.00639561
0.00238173 0.00396406 0.00712262
0.00257568 0.00432912 0.00778159
0.00273611 0.00466958 0.0083862
0.00287726 0.00498797 0.00895579
0.00301892 0.00528465 0.00950458
0.00317475 0.00556772 0.0100427
0.00334324 0.00584857 0.0105705
0.00352808 0.00613704 0.0110875
0.00372926 0.00643425 0.0115973
0.00394667 0.00674375 0.0121195
0.0041803 0.00706981 0.012675
0.00443002 0.00741639 0.0132664
0.00469565 0.00778839 0.0138968
0.00497685 0.00819068 0.0145694
0.00527777 0.00862866 0.0152874
0.00559688 0.00909665 0.0160296
0.00593535 0.00959405 0.0168025
0.00629431 0.0101205 0.0176125
0.00667497 0.0106757 0.0184616
0.00707868 0.0112612 0.0193513
0.00750688 0.0118788 0.0202843
0.00796099 0.0125302 0.0212618
0.00844263 0.013217 0.0222867
0.0089534 0.0139417 0.0233612
0.00949505 0.014706 0.0244875
0.0100696 0.0155119 0.0256678
0.010679 0.0163621 0.0269053
0.0113251 0.0172588 0.0282024
0.0120104 0.0182043 0.0295619
0.0127372 0.0192019 0.0309873
0.0135079 0.0202541 0.0324814
0.0143254 0.0213633 0.0340472
0.0151922 0.0225336 0.0356886
0.0161117 0.0237677 0.0374091
0.0170867 0.0250695 0.0392128
0.0181209 0.0264426 0.0411029
0.0192176 0.0278906 0.0430842
0.0203809 0.0294177 0.0451612
0.0216148 0.0310287 0.0473382
0.0229233 0.0327279 0.0496203
0.0243111 0.0345198 0.0520127
0.0257828 0.0364098 0.0545201
0.0273438 0.0384034 0.0571481
0.0289992 0.0405058 0.0599031
0.0307548 0.0427236 0.0627907
0.0326168 0.0450622 0.0658178
0.0345916 0.0475285 0.0689906
0.0366861 0.0501308 0.072316
0.0389074 0.0528746 0.0758017
0.0412631 0.0557686 0.0794563
0.0437618 0.0588208 0.0832865
0.0464116 0.0620402 0.087301
0.0492221 0.0654352 0.0915095
0.0522032 0.0690166 0.09592
0.0553648 0.072794 0.100544
0.0587178 0.0767773 0.105391
0.0622737 0.0809792 0.110471
0.0660453 0.0854108 0.115795
0.0700455 0.0900846 0.121376
0.0742883 0.0950139 0.127227
0.078788 0.100212 0.13336
0.0835605 0.105696 0.139789
0.088622 0.111479 0.146526
0.0939903 0.117578 0.153589
0.0996839 0.124011 0.160993
0.105723 0.130796 0.168753
0.112127 0.137952 0.176887
0.118919 0.145499 0.185413
0.126124 0.153459 0.194351
0.133764 0.161856 0.20372
0.141867 0.17071 0.213541
0.150461 0.180049 0.223834
0.159575 0.189898 0.234625
0.169242 0.200287 0.245933
0.179495 0.211244 0.257789
0.190369 0.222799 0.270215
0.201902 0.234986 0.28324
0.214135 0.247839 0.296892
0.227109 0.261395 0.311205
0.240866 0.275695 0.326205
0.255459 0.290774 0.341928
0.270936 0.306678 0.358411
0.287351 0.323454 0.375684
